	Rsem_log_q_200_f
TCGA-E9-A1RD-11A-33R-A157-07	0.095303
TCGA-E9-A1RC-01A-11R-A157-07	0.7148952
TCGA-AC-A8OP-01A-11R-A36F-07	0.1608609
TCGA-BH-A0B1-01A-12R-A056-07	0.1664437
TCGA-B6-A0RG-01A-11R-A056-07	0.2673664
TCGA-D8-A1JH-01A-11R-A13Q-07	0.2236674
TCGA-A2-A0CR-01A-11R-A22K-07	0.0837017
TCGA-BH-A0DS-01A-11R-A056-07	0.2375516
TCGA-BH-A0HK-11A-11R-A089-07	0.2468748
TCGA-A2-A0D1-01A-11R-A034-07	0.7367575
TCGA-BH-A0HW-01A-11R-A034-07	0.7277312
TCGA-BH-A18U-11A-23R-A12D-07	0.1968465
TCGA-OL-A5RU-01A-11R-A28M-07	0.5705281
TCGA-LL-A50Y-01A-11R-A266-07	0.5210667
TCGA-LL-A5YM-01A-11R-A28M-07	0.6839106
TCGA-C8-A8HP-01A-11R-A36F-07	0.7815699
TCGA-AC-A62Y-01A-11R-A29R-07	0.069745
TCGA-A8-A08B-01A-11R-A00Z-07	0.6213174
TCGA-AC-A3TN-01A-11R-A22K-07	0.6426355
TCGA-A8-A07W-01A-11R-A00Z-07	0.6200474
TCGA-PE-A5DE-01A-11R-A27Q-07	0.1024734
TCGA-A2-A3XX-01A-21R-A239-07	0.6824669
TCGA-AR-A2LK-01A-11R-A180-07	0.1369672
TCGA-B6-A0WT-01A-11R-A109-07	0.4897574
TCGA-AC-A23C-01A-12R-A169-07	0.2236432
TCGA-E2-A1L9-01A-11R-A13Q-07	0.1361634
TCGA-AO-A12F-01A-11R-A115-07	0.8345661
TCGA-A8-A08G-01A-11R-A00Z-07	0.1905781
TCGA-E2-A10F-01A-11R-A10J-07	0.0997778
TCGA-D8-A3Z6-01A-11R-A239-07	0.7569024
TCGA-BH-A0B0-01A-21R-A115-07	0.0495158
TCGA-BH-A1FU-01A-11R-A14D-07	0.5262709
TCGA-PE-A5DC-01A-12R-A27Q-07	0.5829632
TCGA-A2-A0SU-01A-11R-A084-07	0.6368984
TCGA-E9-A1N6-01A-11R-A144-07	0.1493165
TCGA-AR-A251-01A-12R-A169-07	0.0502878
TCGA-D8-A1XU-01A-11R-A14M-07	0.3695956
