Gene	GFP-1	GFP-2	GFP-3	GFP-4	GFP-5	GFP-6	GFP-7	GFP-8	GFP-9	GFP-10	GFP-11	GFP-12	HER2-1	HER2-2	HER2-3	HER2-5	HER2-6
AMPD1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
C21orf125	19.4049	20.4082	12.6382	19.2061	26.0688	29.4321	19.7044	12.5698	17.9641	16.7189	16.7189	25.1177	22.1519	0.0000	16.2478	0.0000	16.3690
QPCT	381.6300	352.3810	383.8863	375.1601	331.5954	372.8064	363.3005	328.2123	314.9701	339.9512	339.9512	317.1115	334.3882	272.7273	369.6370	292.5764	287.2024
PRO0611	0.0000	0.0000	0.0000	2.5608	0.0000	1.6351	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0549	0.0000	0.0000	0.0000	1.4881
MAOB	216.0414	146.9388	199.0521	216.3892	228.3629	194.5788	123.1527	177.3743	149.7006	110.0662	110.0662	0.0000	113.9241	107.4380	141.1526	126.6376	104.1667
LCN2	1639.0686	1493.8776	1685.6240	1323.9437	1684.0459	1669.4532	1415.0246	1716.4804	1361.6766	1433.6468	1433.6468	0.0000	1672.9958	2669.4215	1721.2490	2458.5153	1513.3929
GUCY2D	0.0000	4.0816	4.7393	3.8412	5.2138	3.2702	3.6946	1.3966	0.0000	2.7865	2.7865	3.1397	0.0000	0.0000	2.0310	4.3668	4.4643
IGSF9B	179.8189	122.4490	197.4724	244.5583	235.6621	227.2811	98.5222	134.0782	144.9102	104.4932	104.4932	144.4270	102.3207	66.1157	158.4158	104.8035	147.3214
THOC4	419.1462	431.2925	398.1043	425.0960	424.4004	366.2659	411.3300	423.1844	397.6048	438.8715	438.8715	423.8619	437.7637	752.0661	409.2409	820.9607	491.0714
CD48	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
LOC201651	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BAALC	6.4683	2.7211	6.3191	1.2804	21.8978	8.1756	3.6946	2.7933	2.3952	1.3932	1.3932	0.0000	1.0549	0.0000	1.0155	0.0000	5.9524
ST6GAL2	23.2859	19.0476	15.7978	17.9257	17.7268	8.1756	9.8522	13.9665	15.5689	11.1459	11.1459	14.1287	22.1519	0.0000	15.2323	0.0000	16.3690
RGP1	351.8758	306.7347	230.3633	300.3329	335.5266	274.4705	332.8941	301.0615	275.2335	271.9331	271.9331	0.0000	254.2194	388.4298	283.9401	397.3799	275.1339
MYCN	2.5873	0.0000	1.5798	3.8412	2.0855	1.6351	1.2315	2.7933	4.7904	1.3932	1.3932	1.5699	2.1097	0.0000	1.0155	0.0000	0.0000
MAP7D1	4411.3842	4008.1633	4406.0032	4527.5288	4987.4870	4686.2417	3965.5172	4087.9888	4262.2754	4717.5200	4717.5200	4478.8069	4367.0886	5355.3719	5199.2892	5921.3974	5410.7143
NSFL1C	1490.2975	1336.0544	1375.9874	1404.6095	1601.6684	1417.6454	1442.1182	1480.4469	1485.0299	1447.5792	1447.5792	1395.6044	1396.6245	1768.5950	1382.0767	1973.7991	1373.5119
GFI1B	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
DEM1	210.8668	255.7823	219.5893	202.3047	200.2086	225.6460	248.7685	276.5363	252.6946	211.7729	211.7729	238.6185	209.9156	33.0579	212.2366	21.8341	190.4762
FURIN	6206.9858	6193.1973	6761.4534	6669.6543	7030.2398	6455.4370	6435.9606	6117.3184	6497.0060	7012.1909	7012.1909	6094.1915	6534.8101	5735.5372	7160.1929	6100.4367	6735.1190
CPN2	0.0000	0.0000	0.0000	1.2804	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ANK1	10.3493	16.3265	14.2180	11.5237	17.7268	13.0809	19.7044	12.5698	15.5689	18.1122	18.1122	0.0000	14.7679	24.7934	15.2323	13.1004	13.3929
ZBTB5	720.5692	639.4558	769.3523	692.7017	747.6538	640.9654	752.4631	685.7542	760.4790	709.1606	709.1606	0.0000	731.0127	16.5289	702.7164	39.3013	663.6905
FAM66A	1.2937	7.6463	3.1596	0.0000	0.0000	1.6351	0.0000	6.9832	0.0000	0.0000	0.0000	0.0000	1.0549	0.0000	1.0155	4.3668	0.0000
SNX4	416.5589	391.8367	402.8436	428.9373	456.7258	490.5347	401.4778	430.1676	349.7006	370.6026	370.6026	453.6892	431.4346	652.8926	404.1635	524.0175	418.1548
C1orf52	377.7490	379.5918	424.9605	426.3764	381.6475	367.9010	343.5961	393.8547	388.0240	356.6701	356.6701	379.9058	380.8017	173.5537	351.3582	222.7074	345.2381
LOC653501	92.3415	61.6327	81.4534	59.6799	70.9906	92.3840	80.0739	45.8240	80.3832	46.2557	46.2557	0.0000	72.1835	17.7686	69.4186	31.6594	84.0923
DVL3	1688.2277	1765.9864	1672.9858	1670.9347	1869.6559	1798.6273	1763.5468	1592.1788	1847.9042	1833.5075	1833.5075	1609.1052	1629.7468	1413.2231	1758.8220	1489.0830	1742.5595
SLC15A4	1065.9767	1145.5782	1170.6161	1061.4597	1006.2565	972.8939	1104.6798	1187.1508	1259.8802	1129.9199	1129.9199	1042.3862	1375.5274	1033.0579	1283.5745	1039.3013	1181.5476
TBC1D16	476.0673	484.3537	445.4976	451.9846	521.3764	515.0615	511.0837	452.5140	525.7485	515.4998	515.4998	470.9576	462.0253	239.6694	504.6966	432.3144	513.3929
C1QTNF9	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
SNORD114-6	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
KRTAP4-9	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
OR52W1	0.0000	0.0000	1.5798	0.0000	0.0000	0.0000	1.2315	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
SEC1	2.7555	0.0000	0.0000	1.3188	3.3785	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.2440
OR2H2	1.2937	0.0000	0.0000	1.2804	0.0000	0.0000	0.0000	1.3966	0.0000	1.3932	1.3932	0.0000	1.0549	0.0000	0.0000	0.0000	0.0000
SNAI2	2327.2962	2182.3129	1998.4202	2137.0038	2084.4630	2155.0826	2176.1084	1970.6704	2192.8144	2014.6290	2014.6290	0.0000	2182.4895	611.5702	2371.1602	672.4891	2340.7738
IL25	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
FAM126A	1635.1876	1677.5510	1533.9652	1636.3636	1528.6757	1564.8058	1815.2709	1733.2402	1604.7904	1483.8036	1483.8036	1627.9435	1825.9494	628.0992	1582.1274	764.1921	1738.0952
CDC123	1103.5446	1147.0612	1104.2654	1153.0474	1193.4932	1089.1015	1202.7340	1248.9944	1180.8383	1141.8878	1141.8878	1183.6735	1173.8080	2148.7603	1144.2904	2205.2402	1157.0089
LRRC55	1.2937	4.0816	0.0000	1.2804	2.0855	3.2702	0.0000	0.0000	2.3952	0.0000	0.0000	3.1397	0.0000	0.0000	2.0310	0.0000	0.0000
BTN2A2	326.9470	300.9252	289.8104	284.0589	316.3087	276.8251	325.4557	319.7626	325.4611	326.8687	326.8687	297.8807	305.4430	247.0248	270.8505	225.2838	256.3690
JAK2	195.3428	224.4898	191.1532	222.7913	197.0803	214.2002	203.2020	205.3073	208.3832	185.3013	185.3013	0.0000	191.9831	272.7273	191.9269	222.7074	184.5238
ASPDH	0.0000	2.7211	1.5798	1.2804	0.0000	1.6351	2.4631	0.0000	1.1976	0.0000	0.0000	1.5699	0.0000	0.0000	0.0000	0.0000	1.4881
EDNRB	2.5873	0.0000	3.1596	12.8041	3.1283	6.5405	7.3892	6.9832	4.7904	5.5730	5.5730	0.0000	5.2743	0.0000	4.0619	0.0000	1.4881
IFNE	91.8499	89.7959	110.5845	101.1524	83.4202	83.3909	119.4581	129.8883	152.0958	101.7067	101.7067	0.0000	120.2532	0.0000	111.7035	0.0000	81.8452
DDX3Y	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ZNF527	89.2626	112.9252	88.4676	85.7875	88.6340	91.5665	100.9852	114.5251	99.4012	101.7067	101.7067	62.7943	93.8819	33.0579	90.3783	30.5677	72.9167
CLEC11A	14.2303	20.4082	25.2765	23.0474	25.0261	26.1619	18.4729	12.5698	27.5449	36.2243	36.2243	26.6876	20.0422	0.0000	24.3717	4.3668	20.8333
ATP6V0D1	1712.8072	1466.6667	1390.2054	1526.2484	1879.0407	1631.8455	1469.2118	1398.0447	1464.6707	1454.5455	1454.5455	1607.5353	1327.0042	1322.3140	1589.2358	1720.5240	1641.3690
PANX1	2041.3972	2142.8571	2129.5419	2049.9360	1759.1241	1834.5999	2200.7389	2117.3184	2150.8982	2225.0087	2225.0087	2059.6546	2476.7932	661.1570	2305.1536	759.8253	2250.0000
HRSP12	204.3984	161.9048	189.5735	176.6965	162.6694	166.7818	165.0246	166.2011	159.2814	163.0094	163.0094	0.0000	151.8987	148.7603	149.2765	96.0699	148.8095
KRT37	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
TOMM6	750.2587	664.8571	698.3096	774.9808	814.2336	797.9365	658.4975	711.2291	671.5808	719.6796	719.6796	712.3234	738.8713	735.5372	774.8769	663.7555	768.1994
KCNH1	15.5239	12.2449	14.2180	14.0845	12.5130	9.8107	20.9360	12.5698	28.7425	32.0446	32.0446	9.4192	12.6582	16.5289	8.1239	8.7336	8.9286
TPTE2P3	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.3966	0.0000	0.0000	0.0000	0.0000	1.0549	0.0000	1.0155	0.0000	0.0000
COL4A3BP	939.1979	1080.2721	1020.5371	1017.9257	990.6152	959.8129	1061.5764	1012.5698	1038.3234	955.7645	955.7645	957.6138	1135.0211	925.6198	1016.5017	930.1310	918.1548
ARHGAP19	699.8706	700.6803	723.5387	681.1780	810.2190	799.5716	610.8374	642.4581	692.2156	575.4093	575.4093	613.8148	660.3376	264.4628	617.4156	296.9432	590.7738
CCDC146	95.7309	82.9932	58.4518	76.8246	72.9927	67.8082	56.6502	79.6089	88.6228	55.7297	55.7297	25.8399	53.7975	66.1157	57.8827	61.1354	47.6190
NUDCD3	1662.3545	1639.4558	1521.3270	1503.2010	1720.5422	1538.6439	1630.5419	1428.7709	1570.0599	1515.8481	1515.8481	1638.9325	1554.8523	421.4876	1671.4902	502.1834	1653.2738
IL19	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MXRA7	2025.8732	1968.7075	1714.0600	1866.8374	2303.4411	2150.1772	1848.5222	1808.6592	1741.3174	1801.4629	1801.4629	2158.5557	1759.4937	619.8347	2105.1028	803.4934	2031.2500
CHAC2	77.6197	97.9592	99.5261	97.3111	101.1470	67.0397	113.3005	118.7151	101.7964	86.3811	86.3811	98.9011	92.8270	16.5289	80.2234	48.0349	92.2619
C1orf172	323.4153	319.7279	317.5355	325.2241	362.8780	333.5636	362.0690	332.4022	295.8084	323.2323	323.2323	340.6593	274.2616	90.9091	299.5684	56.7686	339.2857
MIER1	781.3713	718.3673	703.0016	758.0026	706.9864	776.6800	681.0345	770.9497	664.6707	618.5998	618.5998	689.1680	719.4093	504.1322	710.8403	401.7467	674.1071
GSTZ1	252.2639	231.2925	230.6477	254.8015	303.4411	259.9834	226.6010	230.4469	225.1497	257.7499	257.7499	233.9089	258.4388	272.7273	266.0574	331.8777	247.0238
KCNIP3	63.3894	81.6327	55.2923	70.4225	57.3514	44.1481	77.5862	78.2123	86.2275	89.1675	89.1675	73.7834	71.7300	57.8512	73.1150	21.8341	50.5952
MADCAM1	0.0000	0.0000	0.0000	0.0000	1.0428	0.0000	0.0000	1.3966	0.0000	2.7865	2.7865	0.0000	1.0549	0.0000	0.0000	0.0000	2.9762
CYTL1	3.8810	1.3605	1.5798	0.0000	1.0428	0.0000	1.2315	1.3966	5.9880	1.3932	1.3932	1.5699	2.1097	0.0000	2.0310	0.0000	2.9762
CDKN2D	89.2626	81.6327	71.0900	80.6658	112.6173	89.9314	83.7438	62.8492	73.0539	75.2351	75.2351	98.9011	111.8143	8.2645	85.3008	8.7336	86.3095
GAL	27.1669	35.3741	30.0158	44.8143	28.1543	42.5130	34.4828	37.7095	26.3473	52.9432	52.9432	50.2355	47.4684	74.3802	62.9601	61.1354	74.4048
LOC400940	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CDK13	1300.1294	1417.6871	1298.5782	1314.9808	1306.5693	1211.6208	1379.3103	1392.4581	1392.8144	1376.5239	1376.5239	1249.6075	1345.9916	851.2397	1322.1630	886.4629	1303.5714
C9orf71	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CRAT	135.8344	137.4150	139.0205	119.0781	159.5412	117.7283	126.8473	99.1620	123.3533	119.8189	119.8189	0.0000	149.7890	148.7603	174.6636	157.2052	165.1786
BAG2	166.8823	191.8367	139.0205	144.6863	157.4557	145.5253	200.7389	219.2737	189.2216	206.1999	206.1999	202.5118	162.4473	33.0579	145.2145	26.2009	169.6429
AKR1B15	10.6468	2.7619	9.9052	9.5134	14.1606	16.5310	6.3916	5.7821	10.9341	1.4211	1.4211	0.0000	2.1941	24.7934	5.1485	8.7336	7.6637
INHBA	2448.9004	2356.4626	2368.0885	2425.0960	2220.0209	2189.4200	2387.9310	2290.5028	2397.6048	2127.4817	2127.4817	1974.8823	2703.5865	289.2562	2575.2729	414.8472	2172.6190
POGZ	930.1423	1036.7347	946.2875	1000.0000	910.3233	974.5290	1070.1970	1051.6760	1168.8623	940.4389	940.4389	832.0251	1103.3755	537.1901	959.6344	554.5852	964.2857
TSPY3	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MRPS15	631.3066	635.3741	549.7630	620.9987	748.6966	663.8570	634.2365	620.1117	617.9641	674.3295	674.3295	695.4474	565.4008	991.7355	697.6390	1227.0742	742.5595
TRPC4AP	2428.2018	2519.7279	2505.5292	2505.7618	2389.9896	2318.5941	2532.0197	2603.3520	2523.3533	2624.8694	2624.8694	2287.2841	2765.8228	3561.9835	2626.0472	3480.3493	2825.8929
KRT36	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.3932	1.3932	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
KBTBD10	13.4670	3.4966	6.3981	6.4661	5.7873	4.9053	5.2833	6.2151	5.9880	5.5730	5.5730	11.4443	1.0549	81.3223	4.0619	0.0000	2.9762
STON1-GTF2A1L	78.0078	90.6803	46.5561	73.6492	102.8989	94.0192	56.2192	43.0726	77.6168	19.5472	19.5472	41.0989	51.1603	10.3306	50.4595	0.0000	29.5238
SPPL3	1424.3208	1318.3673	1605.0553	1510.8835	1565.1721	1486.3202	1321.4286	1360.3352	1331.7365	1316.6144	1316.6144	1383.0455	1395.5696	933.8843	1331.3024	1266.3755	1342.2619
CCDC149	307.8913	272.1088	333.3333	295.7746	354.5360	341.7392	279.5567	258.3799	293.4132	227.0986	227.0986	241.7582	268.9873	173.5537	277.2277	174.6725	276.7857
THUMPD2	214.7477	244.8980	233.8073	252.2407	205.4223	246.9025	280.7882	254.1899	323.3533	245.2107	245.2107	254.3171	233.1224	157.0248	237.6238	174.6725	224.7024
DAAM1	1353.1695	1185.0340	1434.4392	1449.4238	1475.4953	1566.4409	983.9901	1175.9777	1082.6347	997.5618	997.5618	1155.4160	1429.3249	1347.1074	1450.1142	1375.5459	1168.1548
GP1BA	0.0000	0.0000	5.5134	0.0000	4.0876	7.7177	12.6355	8.3799	4.5509	8.3595	8.3595	0.0000	12.6582	0.0000	14.2574	0.0000	9.5387
CPNE7	16.8176	12.2449	12.6382	23.0474	20.8551	11.4458	11.0837	19.5531	10.7784	9.7527	9.7527	23.5479	14.7679	33.0579	20.3097	26.2009	11.9048
TSPAN33	58.2147	43.5374	48.9731	53.7772	79.2492	73.5802	28.3251	44.6927	62.2754	61.3027	61.3027	45.5259	30.5907	0.0000	45.6969	30.5677	41.6667
SLC39A9	2442.4321	2459.8639	2331.7536	2230.4738	2310.7404	2362.7423	2501.2315	2414.8045	2349.7006	2146.9871	2146.9871	2164.8352	2368.1435	446.2810	2218.8373	323.1441	2145.8333
TPTE2P1	1.2937	1.3605	4.7393	2.5608	5.2138	6.5405	0.0000	5.5866	3.5928	0.0000	0.0000	0.0000	2.1097	0.0000	2.0310	4.3668	1.4881
TMEM30B	868.0466	1029.9320	962.0853	967.9898	900.9385	954.9076	905.1724	1023.7430	914.9701	1001.7416	1001.7416	971.7425	1062.2363	24.7934	998.2229	34.9345	1049.1071
OAS1	390.6856	191.8367	363.3491	373.8796	544.3170	487.2645	184.7291	206.7039	202.3952	268.8959	268.8959	218.2104	204.6414	90.9091	189.8959	117.9039	174.1071
DBF4B	63.3894	58.5034	58.4518	80.6658	61.5224	57.2291	80.0493	74.0223	71.8563	65.4824	65.4824	39.2465	54.8523	49.5868	72.0995	39.3013	81.8452
KDM5C	3840.8797	3655.7823	3854.6603	3956.4661	3847.7581	3662.6593	3750.0000	3805.8659	3932.9341	3757.5758	3757.5758	0.0000	3648.7342	4289.2562	3961.4115	4074.2358	3805.0595
C11orf92	2.5873	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0549	0.0000	0.0000	0.0000	1.4881
PSMA4	1749.0298	1820.4082	1680.8847	1786.1716	1816.4755	1808.4380	1719.2118	1804.4693	1695.8084	1670.4981	1670.4981	1864.9922	1793.2489	2099.1736	1794.3641	2135.3712	1738.0952
BTBD7	1668.8228	1794.5578	1791.4692	1777.2087	1667.3618	1630.2104	1896.5517	1808.6592	1839.5210	1901.7764	1901.7764	1770.8006	1912.4473	446.2810	1845.1384	502.1834	1773.8095
SLC12A4	3079.8448	3329.7687	3333.9810	3163.3291	2760.4171	2662.4426	3670.2217	3384.7626	3807.3174	3927.3842	3927.3842	2762.4019	3749.3565	4958.6777	3572.3178	4475.9825	3420.9226
DAZ2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EPB41L4A	263.9069	265.3061	268.5624	221.5109	226.2774	228.9162	233.9901	279.3296	263.4731	199.2337	199.2337	197.8022	291.1392	239.6694	244.7322	205.2402	230.6548
STAB1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.1976	0.0000	0.0000	0.0000	0.0000	0.0000	1.0155	0.0000	0.0000
C11orf83	137.6714	138.7755	139.0205	152.3688	162.6694	140.6200	129.3103	111.7318	129.8683	163.0094	163.0094	145.9969	123.4177	57.8512	139.1216	52.4017	153.2738
C14orf86	1.2937	0.0000	0.0000	1.2804	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
SEMG1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
FEZF2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CDK7	685.6404	685.7143	663.5071	691.4213	687.1741	649.1410	653.9409	696.9274	661.0778	709.1606	709.1606	697.0173	861.8143	1677.6860	772.7850	1716.1572	799.1071
LRRC40	401.0349	440.8163	445.4976	363.6364	378.5193	379.3469	390.3941	374.3017	449.1018	363.6364	363.6364	420.7221	464.1350	504.1322	441.7365	475.9825	373.5119
IFIT1B	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
IL31	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0155	0.0000	0.0000
CDC42SE1	4169.1074	3898.1769	3636.0821	3654.7247	3920.0104	3907.5342	3778.2882	3517.8771	3772.8263	3191.9331	3191.9331	3222.6688	3618.3544	1396.6942	3576.8672	1454.1485	3508.8988
TUFM	4034.9288	4515.6463	4142.1801	4038.4123	3963.5036	3651.2135	4469.2118	4413.4078	4451.4970	4788.5754	4788.5754	3990.5808	4130.8017	5983.4711	3996.9535	5755.4585	3861.6071
C1orf113	490.2329	414.8027	432.8752	489.1421	412.4400	425.1628	392.9926	458.9106	485.9641	373.0408	373.0408	291.8838	424.5992	347.1074	445.3313	244.5415	494.1815
C4orf50	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
UNC13A	2.5873	4.0816	1.5798	1.2804	0.0000	1.6351	0.0000	1.3966	7.1856	1.3932	1.3932	1.5699	1.0549	0.0000	1.0155	0.0000	1.4881
GRXCR1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
HEXB	3278.7322	3586.7211	3650.9953	3380.4738	2962.2628	3115.0100	3289.5813	3614.8743	3522.3353	3688.0251	3688.0251	3103.9089	3735.9599	6545.4545	3472.8002	6205.2402	3209.6429
ZNF428	127.6843	148.7075	131.3902	173.2522	203.7956	167.1579	137.9680	148.4497	174.0719	217.5549	217.5549	170.0785	153.2173	90.9091	189.3983	96.0699	173.6756
AKAP14	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CHRNA6	1.2937	4.0816	3.1596	0.0000	2.0855	0.0000	0.0000	1.3966	3.5928	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
NPAS3	7.7620	1.3605	3.1596	1.2804	3.1283	3.2702	0.0000	0.0000	2.3952	4.1797	4.1797	0.0000	4.2194	0.0000	2.0310	0.0000	0.0000
FAM19A3	5.1746	1.3605	0.0000	2.5608	1.0428	0.0000	1.2315	2.7933	4.7904	4.1797	4.1797	9.4192	2.1097	0.0000	6.0929	0.0000	1.4881
FBXL13	9.0556	6.8027	4.7393	5.1216	6.2565	9.8107	4.9261	8.3799	7.1856	12.5392	12.5392	6.2794	6.3291	0.0000	6.0929	8.7336	2.9762
SLC26A10	16.5201	16.7483	21.0585	16.8246	15.7873	12.6558	11.5764	15.1536	21.9521	14.2250	14.2250	5.6201	11.4662	8.2645	17.2531	0.0000	12.6935
CPOX	829.2367	923.8095	897.3144	911.6517	876.9552	832.2739	883.0049	909.2179	894.6108	845.6984	845.6984	832.0251	854.4304	743.8017	834.7296	585.1528	790.1786
C9orf129	0.0000	0.0000	0.5687	0.1921	0.0000	0.0000	0.0000	0.0000	2.6587	1.7973	1.7973	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
UBXN6	915.9120	868.0272	867.2986	1033.2907	1109.4891	961.4481	764.7783	815.6425	829.9401	861.0240	861.0240	976.4521	804.8523	1479.3388	1065.2450	1755.4585	1022.3214
