Gene	GFP-1	GFP-2	GFP-3	GFP-4	GFP-5	GFP-6	GFP-7	GFP-8	GFP-9	GFP-10	GFP-11	GFP-12	HER2-1	HER2-2	HER2-3	HER2-5	HER2-6
ZNF121	153.9457	183.6735	139.0205	134.4430	98.0188	135.7146	172.4138	191.3408	209.5808	149.0770	149.0770	109.8901	146.6245	82.6446	124.9048	52.4017	136.9048
OR2J3	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
HMOX1	194.0492	210.8844	175.3555	171.5749	254.4317	189.6734	203.2020	187.1508	231.1377	210.3797	210.3797	200.9419	151.8987	49.5868	158.4158	87.3362	133.9286
TMEM132B	67.2704	43.5374	75.8294	34.5711	61.5224	60.4993	72.6601	46.0894	49.1018	71.0554	71.0554	51.8053	63.2911	8.2645	44.6814	0.0000	44.6429
GPR137C	14.2303	12.2449	14.2180	15.3649	4.1710	17.9863	6.1576	16.7598	13.1737	4.1797	4.1797	12.5589	7.3840	8.2645	11.1703	0.0000	7.4405
AKAP12	891.3325	755.1020	873.6177	839.9488	877.9979	825.7335	773.3990	847.7654	785.6287	734.2389	734.2389	671.8995	1485.2321	99.1736	1248.0325	113.5371	1168.1548
PLEKHN1	252.2639	225.8503	278.0411	257.3624	291.9708	289.4155	257.3892	263.9665	299.4012	305.1202	305.1202	246.4678	256.3291	413.2231	268.0883	441.0480	287.2024
ZNF668	238.0336	263.9456	257.5039	290.6530	308.6548	274.6994	290.6404	277.9330	314.9701	365.0296	365.0296	365.7771	276.3713	57.8512	310.7388	61.1354	319.9405
GZMB	0.0000	1.3605	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ZC3H7A	1256.1449	1342.8571	1415.4818	1256.0819	1182.4818	1268.8498	1440.8867	1365.9218	1281.4371	1263.6712	1263.6712	1193.0926	1483.1224	1834.7107	1309.9772	1489.0830	1209.8214
LTA4H	2331.1772	2538.7755	2317.5355	2510.8835	2354.5360	2240.1086	2445.8128	2622.9050	2609.5808	2431.2086	2431.2086	2433.2810	2626.5823	4818.1818	2422.9500	4633.1878	2510.4167
ZNF804A	0.0000	0.0000	0.0000	0.0000	0.0000	1.6351	1.2315	0.0000	0.0000	1.3932	1.3932	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
SLC7A5P1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
OR8J1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
DCC	2.5873	1.3605	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.1976	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.4881
