	FPKM_log_q_200_f	TPM_log_q_200_f
TCGA-A1-A0SB-01A-11R-A144-07	0.7903768	0.8244457
TCGA-A1-A0SD-01A-11R-A115-07	0.881267	0.8476338
TCGA-A1-A0SE-01A-11R-A084-07	0.8542511	0.864727
TCGA-A1-A0SF-01A-11R-A144-07	0.9008022	0.8964054
TCGA-A1-A0SG-01A-11R-A144-07	0.8986676	0.9014106
TCGA-A1-A0SH-01A-11R-A084-07	0.9332304	0.943453
TCGA-A1-A0SI-01A-11R-A144-07	0.7737179	0.6613479
TCGA-A1-A0SJ-01A-11R-A084-07	0.9328821	0.9087166
TCGA-A1-A0SK-01A-12R-A084-07	0.7629695	0.7158734
TCGA-A1-A0SM-01A-11R-A084-07	0.9717256	0.9718471
TCGA-A1-A0SN-01A-11R-A144-07	0.9430183	0.9372047
TCGA-A1-A0SO-01A-22R-A084-07	0.7997285	0.7419254
TCGA-A1-A0SP-01A-11R-A084-07	0.8000994	0.6619598
TCGA-A1-A0SQ-01A-21R-A144-07	0.9148082	0.8864893
TCGA-A2-A04N-01A-11R-A115-07	0.8591906	0.8361519
TCGA-A2-A04P-01A-31R-A034-07	0.7759393	0.5949688
TCGA-A2-A04Q-01A-21R-A034-07	0.4362871	0.1966144
TCGA-A2-A04R-01A-41R-A109-07	0.8980642	0.8905743
TCGA-A2-A04T-01A-21R-A034-07	0.7807035	0.6963003
TCGA-A2-A04U-01A-11R-A115-07	0.8498589	0.7596121
TCGA-A2-A04V-01A-21R-A034-07	0.8615	0.754682
TCGA-A2-A04W-01A-31R-A115-07	0.9780838	0.978256
TCGA-A2-A04X-01A-21R-A034-07	0.8056559	0.8356867
TCGA-A2-A04Y-01A-21R-A034-07	0.7360304	0.5569906
TCGA-A2-A0CK-01A-11R-A22K-07	0.8020383	0.5507333
TCGA-A2-A0CL-01A-11R-A115-07	0.6620486	0.5355311
TCGA-A2-A0CM-01A-31R-A034-07	0.1762027	0.0885532
TCGA-A2-A0CO-01A-13R-A22K-07	0.7506464	0.5802316
TCGA-A2-A0CP-01A-11R-A034-07	0.7701	0.668233
TCGA-A2-A0CQ-01A-21R-A034-07	0.6846296	0.5544054
TCGA-A2-A0CR-01A-11R-A22K-07	0.557352	0.2837081
TCGA-A2-A0CS-01A-11R-A115-07	0.8550802	0.825748
TCGA-A2-A0CT-01A-31R-A056-07	0.9147711	0.9025714
TCGA-A2-A0CU-01A-12R-A034-07	0.9458884	0.9295124
TCGA-A2-A0CV-01A-31R-A115-07	0.8999532	0.8460125
TCGA-A2-A0CW-01A-21R-A115-07	0.845673	0.660503
TCGA-A2-A0CX-01A-21R-A00Z-07	0.942277	0.9486472
TCGA-A2-A0CY-01A-12R-A034-07	0.9031232	0.8848023
TCGA-A2-A0CZ-01A-11R-A034-07	0.8700597	0.8062452
TCGA-A2-A0D0-01A-11R-A00Z-07	0.7178909	0.5658826
TCGA-A2-A0D1-01A-11R-A034-07	0.9682946	0.964322
