	FPKM_log_q_200_f	TPM_log_q_200_f
TCGA-A2-A0D2-01A-21R-A034-07	0.8631553	0.8251364
TCGA-A2-A0D3-01A-11R-A115-07	0.8579887	0.8369592
TCGA-A2-A0D4-01A-11R-A00Z-07	0.9438862	0.9212759
TCGA-A2-A0EM-01A-11R-A034-07	0.8306556	0.7957108
TCGA-A2-A0EN-01A-13R-A084-07	0.129924	0.0861941
TCGA-A2-A0EO-01A-11R-A034-07	0.9130287	0.8834771
TCGA-A2-A0EP-01A-52R-A22U-07	0.2132841	0.1021165
TCGA-A2-A0EQ-01A-11R-A034-07	0.6888674	0.7326737
TCGA-A2-A0ER-01A-21R-A034-07	0.8838873	0.7979395
TCGA-A2-A0ES-01A-11R-A115-07	0.8818883	0.8490703
TCGA-A2-A0ET-01A-31R-A034-07	0.6029579	0.4526709
TCGA-A2-A0EU-01A-22R-A056-07	0.8526009	0.8396774
TCGA-A2-A0EV-01A-11R-A034-07	0.7992249	0.688774
TCGA-A2-A0EW-01A-21R-A115-07	0.7839883	0.7480943
TCGA-A2-A0EX-01A-21R-A034-07	0.9165477	0.9182489
TCGA-A2-A0EY-01A-11R-A034-07	0.8509899	0.8516642
TCGA-A2-A0ST-01A-12R-A084-07	0.2180383	0.1075178
TCGA-A2-A0SU-01A-11R-A084-07	0.8318814	0.8037022
TCGA-A2-A0SV-01A-11R-A084-07	0.7664621	0.5698714
TCGA-A2-A0SW-01A-11R-A084-07	0.6194116	0.4895352
TCGA-A2-A0SX-01A-12R-A084-07	0.7489226	0.5607487
TCGA-A2-A0SY-01A-31R-A084-07	0.9117787	0.9106548
TCGA-A2-A0T0-01A-22R-A084-07	0.7938234	0.6901426
TCGA-A2-A0T1-01A-21R-A084-07	0.9163709	0.9127105
TCGA-A2-A0T2-01A-11R-A084-07	0.8856551	0.7853198
TCGA-A2-A0T3-01A-21R-A115-07	0.8914757	0.8636547
TCGA-A2-A0T4-01A-31R-A084-07	0.7676643	0.6361277
TCGA-A2-A0T5-01A-21R-A084-07	0.9043704	0.8461888
TCGA-A2-A0T6-01A-11R-A084-07	0.7628107	0.7496706
TCGA-A2-A0T7-01A-21R-A084-07	0.8460004	0.7710313
TCGA-A2-A0YC-01A-11R-A109-07	0.79969	0.7453735
TCGA-A2-A0YD-01A-11R-A109-07	0.8880981	0.822598
TCGA-A2-A0YE-01A-11R-A109-07	0.6631389	0.625292
TCGA-A2-A0YF-01A-21R-A109-07	0.7800437	0.7574285
TCGA-A2-A0YG-01A-21R-A109-07	0.9104224	0.9258565
TCGA-A2-A0YH-01A-11R-A109-07	0.8161751	0.5945199
TCGA-A2-A0YI-01A-31R-A10J-07	0.684934	0.6238425
TCGA-A2-A0YJ-01A-11R-A109-07	0.9693442	0.9663369
TCGA-A2-A0YK-01A-22R-A109-07	0.7378104	0.5809354
TCGA-A2-A0YL-01A-21R-A109-07	0.7398874	0.774264
TCGA-A2-A0YM-01A-11R-A109-07	0.8369936	0.7031461
TCGA-A2-A0YT-01A-11R-A109-07	0.9043594	0.7828094
TCGA-A2-A1FV-01A-11R-A13Q-07	0.79679	0.6886997
TCGA-A2-A1FW-01A-11R-A13Q-07	0.6657814	0.5844159
TCGA-A2-A1FX-01A-11R-A13Q-07	0.808767	0.6867166
TCGA-A2-A1FZ-01A-51R-A14D-07	0.8968102	0.8554586
TCGA-A2-A1G0-01A-11R-A13Q-07	0.9046506	0.8937518
TCGA-A2-A1G1-01A-21R-A13Q-07	0.9519275	0.9618563
TCGA-A2-A1G4-01A-11R-A13Q-07	0.9117872	0.9271333
TCGA-A2-A1G6-01A-11R-A13Q-07	0.814381	0.6995589
TCGA-A2-A259-01A-11R-A16F-07	0.6677719	0.3731944
TCGA-A2-A25A-01A-12R-A16F-07	0.8340803	0.6964462
TCGA-A2-A25B-01A-11R-A169-07	0.8719063	0.7489641
TCGA-A2-A25C-01A-11R-A169-07	0.8834507	0.8616559
TCGA-A2-A25D-01A-12R-A16F-07	0.7081412	0.5156357
TCGA-A2-A25E-01A-11R-A169-07	0.9240648	0.8977604
TCGA-A2-A25F-01A-11R-A169-07	0.18888	0.0801952
TCGA-A2-A3KC-01A-11R-A213-07	0.9144166	0.8729911
TCGA-A2-A3KD-01A-12R-A213-07	0.9350382	0.8948737
TCGA-A2-A3XS-01A-11R-A22U-07	0.9247545	0.9020134
TCGA-A2-A3XT-01A-11R-A22U-07	0.1627648	0.0693564
TCGA-A2-A3XU-01A-12R-A22U-07	0.5223521	0.5332386
TCGA-A2-A3XV-01A-21R-A239-07	0.7482032	0.7946119
TCGA-A2-A3XW-01A-11R-A239-07	0.7249398	0.566561
TCGA-A2-A3XX-01A-21R-A239-07	0.8950042	0.8373577
TCGA-A2-A3XY-01A-11R-A239-07	0.8127394	0.6893269
TCGA-A2-A3XZ-01A-42R-A239-07	0.9055414	0.907353
TCGA-A2-A3Y0-01A-11R-A239-07	0.3075957	0.0871605
TCGA-A2-A4RW-01A-21R-A266-07	0.9090931	0.8843977
TCGA-A2-A4RX-01A-11R-A266-07	0.923658	0.8678973
TCGA-A2-A4RY-01A-31R-A266-07	0.8353821	0.809199
TCGA-A2-A4S0-01A-21R-A266-07	0.8482888	0.8539235
TCGA-A2-A4S1-01A-21R-A266-07	0.0399907	0.0357251
TCGA-A2-A4S2-01A-12R-A266-07	0.777488	0.7166851
TCGA-A2-A4S3-01A-21R-A266-07	0.8622678	0.7894398
TCGA-A7-A0CD-01A-11R-A00Z-07	0.9053376	0.9140468
TCGA-A7-A0CE-01A-11R-A00Z-07	0.8329206	0.7661812
TCGA-A7-A0CG-01A-12R-A056-07	0.688494	0.6507755
TCGA-A7-A0CH-01A-21R-A00Z-07	0.8426532	0.8199618
TCGA-A7-A0CJ-01A-21R-A00Z-07	0.7496411	0.5435931
TCGA-A7-A0D9-01A-31R-A056-07	0.9303745	0.9334537
TCGA-A7-A0DA-01A-31R-A115-07	0.9095733	0.8677247
TCGA-A7-A0DB-01A-11R-A00Z-07	0.7359075	0.6889347
TCGA-A7-A0DB-01A-11R-A277-07	0.6077146	0.6327395
TCGA-A7-A0DB-01C-02R-A277-07	0.4879806	0.3530563
TCGA-A7-A13D-01A-13R-A12P-07	0.9654542	0.9587433
TCGA-A7-A13D-01A-13R-A277-07	0.9662518	0.9651822
TCGA-A7-A13D-01B-04R-A277-07	0.9456983	0.9535055
TCGA-A7-A13E-01A-11R-A12P-07	0.8471007	0.8067179
TCGA-A7-A13E-01A-11R-A277-07	0.8055656	0.7834914
TCGA-A7-A13E-01B-06R-A277-07	0.3644661	0.2865183
TCGA-A7-A13F-01A-11R-A12P-07	0.9464898	0.9461726
TCGA-A7-A13G-01A-11R-A13Q-07	0.5604721	0.5902944
TCGA-A7-A13G-01B-04R-A22O-07	0.6632723	0.5189388
TCGA-A7-A13H-01A-11R-A22K-07	0.7085619	0.6168713
TCGA-A7-A26E-01A-11R-A169-07	0.8252351	0.8275325
TCGA-A7-A26E-01A-11R-A277-07	0.7275383	0.6680143
TCGA-A7-A26E-01B-06R-A277-07	0.5044461	0.6058414
TCGA-A7-A26F-01A-21R-A169-07	0.5092207	0.4475687
TCGA-A7-A26F-01B-04R-A22O-07	0.5706203	0.3396506
TCGA-A7-A26G-01A-21R-A169-07	0.9153854	0.898374
TCGA-A7-A26H-01A-11R-A169-07	0.8520001	0.8314413
TCGA-A7-A26I-01A-11R-A169-07	0.7767922	0.5948444
TCGA-A7-A26I-01B-06R-A22O-07	0.7492155	0.5907349
TCGA-A7-A26J-01A-11R-A169-07	0.8529958	0.7769536
TCGA-A7-A26J-01A-11R-A277-07	0.8379496	0.7237976
TCGA-A7-A26J-01B-02R-A277-07	0.5440496	0.4845739
TCGA-A7-A2KD-01A-31R-A21T-07	0.9351818	0.911109
TCGA-A7-A3IY-01A-21R-A21T-07	0.7734403	0.5694849
TCGA-A7-A3IZ-01A-11R-A213-07	0.8252818	0.7683764
TCGA-A7-A3J0-01A-11R-A213-07	0.7501499	0.7239881
TCGA-A7-A3J1-01A-11R-A213-07	0.7886465	0.6143343
TCGA-A7-A3RF-01A-11R-A22K-07	0.708409	0.5891543
TCGA-A7-A425-01A-11R-A24H-07	0.5665208	0.4023681
TCGA-A7-A426-01A-22R-A24H-07	0.8568317	0.7528411
TCGA-A7-A4SA-01A-11R-A266-07	0.6537732	0.5824574
TCGA-A7-A4SB-01A-21R-A266-07	0.9064817	0.8655259
TCGA-A7-A4SC-01A-12R-A266-07	0.7903126	0.7256506
TCGA-A7-A4SD-01A-11R-A266-07	0.4416193	0.1961656
TCGA-A7-A4SE-01A-11R-A266-07	0.862784	0.7327047
TCGA-A7-A4SF-01A-11R-A266-07	0.9082704	0.9105016
TCGA-A7-A56D-01A-11R-A27Q-07	0.8702772	0.7267102
TCGA-A7-A5ZV-01A-11R-A28M-07	0.7630339	0.7464579
TCGA-A7-A5ZW-01A-12R-A29R-07	0.8929048	0.8984684
TCGA-A7-A5ZX-01A-12R-A29R-07	0.8929508	0.9013873
TCGA-A7-A6VV-01A-22R-A33J-07	0.910793	0.8606022
TCGA-A7-A6VW-01A-21R-A33J-07	0.4845367	0.1542757
TCGA-A7-A6VX-01A-12R-A33J-07	0.8426933	0.7706562
TCGA-A7-A6VY-01A-12R-A33J-07	0.5270134	0.2380741
TCGA-A8-A06N-01A-11R-A00Z-07	0.8065099	0.633083
TCGA-A8-A06O-01A-11R-A00Z-07	0.6858645	0.563187
TCGA-A8-A06P-01A-11R-A00Z-07	0.9173504	0.9051725
TCGA-A8-A06Q-01A-11R-A034-07	0.8672202	0.7676043
TCGA-A8-A06R-01A-11R-A00Z-07	0.7986326	0.6546719
TCGA-A8-A06T-01A-11R-A00Z-07	0.8282798	0.7294146
TCGA-A8-A06U-01A-11R-A00Z-07	0.8412832	0.7814442
TCGA-A8-A06X-01A-21R-A00Z-07	0.5078174	0.2679268
TCGA-A8-A06Y-01A-21R-A00Z-07	0.8639289	0.8071863
TCGA-A8-A06Z-01A-11R-A00Z-07	0.8860076	0.8943683
TCGA-A8-A075-01A-11R-A084-07	0.8388642	0.800947
TCGA-A8-A076-01A-21R-A00Z-07	0.9473293	0.9418546
TCGA-A8-A079-01A-21R-A00Z-07	0.8362774	0.822248
TCGA-A8-A07B-01A-11R-A00Z-07	0.8819192	0.8723267
TCGA-A8-A07C-01A-11R-A034-07	0.2269748	0.227677
TCGA-A8-A07E-01A-11R-A034-07	0.8638446	0.7164884
TCGA-A8-A07F-01A-11R-A00Z-07	0.7189631	0.7468079
TCGA-A8-A07G-01A-11R-A034-07	0.8691375	0.8109182
TCGA-A8-A07I-01A-11R-A00Z-07	0.9385293	0.9331959
TCGA-A8-A07J-01A-11R-A00Z-07	0.8153982	0.8128211
TCGA-A8-A07L-01A-11R-A00Z-07	0.9377691	0.9012078
TCGA-A8-A07O-01A-11R-A00Z-07	0.5534542	0.259913
TCGA-A8-A07P-01A-11R-A00Z-07	0.9314494	0.926109
TCGA-A8-A07R-01A-21R-A034-07	0.8499905	0.7165268
TCGA-A8-A07S-01A-11R-A034-07	0.8808567	0.8460189
TCGA-A8-A07U-01A-11R-A034-07	0.6852229	0.3410617
TCGA-A8-A07W-01A-11R-A00Z-07	0.9505919	0.9163093
TCGA-A8-A07Z-01A-11R-A00Z-07	0.8527626	0.7641854
TCGA-A8-A081-01A-11R-A00Z-07	0.8739372	0.8557567
TCGA-A8-A082-01A-11R-A00Z-07	0.9381032	0.9328052
TCGA-A8-A083-01A-21R-A00Z-07	0.6847146	0.5355336
TCGA-A8-A084-01A-21R-A00Z-07	0.7644632	0.6062674
TCGA-A8-A085-01A-11R-A00Z-07	0.9278088	0.9375739
TCGA-A8-A086-01A-11R-A00Z-07	0.8974604	0.8702688
TCGA-A8-A08A-01A-11R-A32Y-07	0.8357358	0.7778234
TCGA-A8-A08B-01A-11R-A00Z-07	0.9081762	0.9261708
TCGA-A8-A08C-01A-11R-A00Z-07	0.7380181	0.75319
TCGA-A8-A08F-01A-11R-A00Z-07	0.8012058	0.5937893
TCGA-A8-A08G-01A-11R-A00Z-07	0.6858742	0.5259764
TCGA-A8-A08H-01A-21R-A00Z-07	0.6590642	0.3761195
TCGA-A8-A08I-01A-11R-A00Z-07	0.505168	0.4048518
TCGA-A8-A08J-01A-11R-A00Z-07	0.9629545	0.9491221
TCGA-A8-A08L-01A-11R-A00Z-07	0.8991554	0.8949938
TCGA-A8-A08O-01A-21R-A056-07	0.9084679	0.9161022
TCGA-A8-A08P-01A-11R-A00Z-07	0.8263545	0.7037713
TCGA-A8-A08R-01A-11R-A034-07	0.8685263	0.7486144
TCGA-A8-A08S-01A-11R-A034-07	0.8109985	0.761372
TCGA-A8-A08T-01A-21R-A00Z-07	0.8727447	0.8684703
TCGA-A8-A08X-01A-21R-A00Z-07	0.9476012	0.9321197
TCGA-A8-A08Z-01A-21R-A00Z-07	0.8040026	0.7759205
TCGA-A8-A090-01A-11R-A00Z-07	0.8519761	0.770012
TCGA-A8-A091-01A-11R-A00Z-07	0.9458932	0.9087766
TCGA-A8-A092-01A-11R-A00Z-07	0.8612641	0.7971779
TCGA-A8-A093-01A-11R-A00Z-07	0.8749374	0.8675336
TCGA-A8-A094-01A-11R-A00Z-07	0.8452797	0.764554
TCGA-A8-A095-01A-11R-A00Z-07	0.8462736	0.852944
TCGA-A8-A096-01A-11R-A00Z-07	0.6573088	0.6830232
TCGA-A8-A097-01A-11R-A034-07	0.8553342	0.7788014
TCGA-A8-A099-01A-11R-A00Z-07	0.8648999	0.8626503
TCGA-A8-A09A-01A-11R-A00Z-07	0.9329862	0.9156653
TCGA-A8-A09B-01A-11R-A00Z-07	0.8842955	0.8636233
TCGA-A8-A09C-01A-11R-A00Z-07	0.8348213	0.7293984
TCGA-A8-A09D-01A-11R-A00Z-07	0.8880304	0.8025311
TCGA-A8-A09E-01A-11R-A00Z-07	0.7934455	0.7412312
TCGA-A8-A09G-01A-21R-A00Z-07	0.8010706	0.7811262
TCGA-A8-A09I-01A-22R-A034-07	0.8971063	0.8306303
TCGA-A8-A09K-01A-11R-A00Z-07	0.7919075	0.5693324
TCGA-A8-A09M-01A-11R-A00Z-07	0.4811114	0.1986366
TCGA-A8-A09N-01A-11R-A00Z-07	0.7917276	0.7481058
TCGA-A8-A09Q-01A-11R-A00Z-07	0.7937463	0.6952104
TCGA-A8-A09R-01A-11R-A00Z-07	0.741288	0.6032055
TCGA-A8-A09T-01A-11R-A00Z-07	0.8527392	0.8414656
TCGA-A8-A09V-01A-11R-A034-07	0.8606762	0.8410443
TCGA-A8-A09W-01A-11R-A00Z-07	0.8685764	0.8501523
TCGA-A8-A09X-01A-11R-A00Z-07	0.8811346	0.8543668
TCGA-A8-A09Z-01A-11R-A00Z-07	0.6550659	0.6461697
TCGA-A8-A0A1-01A-11R-A00Z-07	0.7200524	0.638346
TCGA-A8-A0A2-01A-11R-A034-07	0.8135699	0.7864234
TCGA-A8-A0A4-01A-11R-A00Z-07	0.6791182	0.6609036
TCGA-A8-A0A6-01A-12R-A056-07	0.6935333	0.5228779
TCGA-A8-A0A7-01A-11R-A00Z-07	0.9124182	0.8899508
TCGA-A8-A0A9-01A-11R-A00Z-07	0.8648138	0.8476252
TCGA-A8-A0AB-01A-11R-A034-07	0.8651146	0.8889635
TCGA-A8-A0AD-01A-11R-A056-07	0.9029333	0.9140445
TCGA-AC-A23C-01A-12R-A169-07	0.8072927	0.703663
TCGA-AC-A23E-01A-11R-A157-07	0.9056594	0.8798065
TCGA-AC-A23G-01A-11R-A213-07	0.9151031	0.881181
TCGA-AC-A23H-01A-11R-A157-07	0.9726754	0.9732826
TCGA-AC-A2B8-01A-11R-A17B-07	0.8251571	0.8149285
TCGA-AC-A2BK-01A-11R-A21T-07	0.7782753	0.8086864
TCGA-AC-A2BM-01A-11R-A21T-07	0.5600103	0.3741562
TCGA-AC-A2FB-01A-11R-A17B-07	0.7648447	0.725635
TCGA-AC-A2FE-01A-11R-A19W-07	0.75377	0.5848411
TCGA-AC-A2FF-01A-11R-A17B-07	0.8190331	0.7724925
TCGA-AC-A2FG-01A-11R-A17B-07	0.8178481	0.7029446
TCGA-AC-A2FK-01A-12R-A180-07	0.7060459	0.7661996
TCGA-AC-A2FM-01A-11R-A19W-07	0.9335799	0.8832875
TCGA-AC-A2FO-01A-11R-A180-07	0.895404	0.8171616
TCGA-AC-A2QH-01A-11R-A18M-07	0.4642517	0.3160097
TCGA-AC-A2QH-01B-04R-A22O-07	0.2468263	0.1568613
TCGA-AC-A2QI-01A-12R-A19W-07	0.8637963	0.8539771
TCGA-AC-A2QJ-01A-12R-A19W-07	0.5654116	0.2183073
TCGA-AC-A3BB-01A-21R-A19W-07	0.849813	0.793298
TCGA-AC-A3EH-01A-22R-A22K-07	0.889114	0.9046832
TCGA-AC-A3HN-01A-11R-A213-07	0.6797366	0.4934284
TCGA-AC-A3OD-01A-11R-A21T-07	0.6388786	0.6468346
TCGA-AC-A3OD-01B-06R-A22O-07	0.5139315	0.4137904
TCGA-AC-A3QP-01A-11R-A22U-07	0.8603432	0.7911391
TCGA-AC-A3QQ-01A-11R-A22K-07	0.8732735	0.9170287
TCGA-AC-A3QQ-01B-06R-A22O-07	0.89374	0.904931
TCGA-AC-A3TM-01A-11R-A22K-07	0.8624879	0.8551865
TCGA-AC-A3TN-01A-11R-A22K-07	0.8348214	0.7890104
TCGA-AC-A3W5-01A-11R-A22K-07	0.9369178	0.9250653
TCGA-AC-A3W6-01A-12R-A22K-07	0.784374	0.6978238
TCGA-AC-A3W7-01A-11R-A22K-07	0.8093404	0.7292717
TCGA-AC-A3YI-01A-21R-A239-07	0.9086249	0.8141886
TCGA-AC-A3YJ-01A-11R-A22U-07	0.7678116	0.7032641
TCGA-AC-A5EH-01A-11R-A28M-07	0.8843111	0.8016675
TCGA-AC-A5XS-01A-11R-A29R-07	0.8064548	0.5600358
TCGA-AC-A5XU-01A-11R-A28M-07	0.823704	0.8145414
TCGA-AC-A62V-01A-11R-A31O-07	0.926699	0.8977236
TCGA-AC-A62X-01A-11R-A29R-07	0.7564516	0.8004827
TCGA-AC-A62Y-01A-11R-A29R-07	0.5600402	0.4924489
TCGA-AC-A6IV-01A-12R-A33J-07	0.5467551	0.3118968
TCGA-AC-A6IW-01A-12R-A33J-07	0.4128668	0.2765861
TCGA-AC-A6IX-01A-12R-A32P-07	0.801969	0.6931735
TCGA-AC-A6IX-06A-11R-A32P-07	0.6084906	0.2850729
TCGA-AC-A6NO-01A-12R-A33J-07	0.8806554	0.8368644
TCGA-AC-A7VB-01A-11R-A352-07	0.8643041	0.850803
TCGA-AC-A7VC-01A-11R-A352-07	0.8033084	0.7443416
TCGA-AC-A8OP-01A-11R-A36F-07	0.5884634	0.3192982
TCGA-AN-A03X-01A-21R-A00Z-07	0.9315556	0.9192164
TCGA-AN-A03Y-01A-21R-A00Z-07	0.5054606	0.4321023
TCGA-AN-A041-01A-11R-A034-07	0.9459621	0.920431
TCGA-AN-A046-01A-21R-A034-07	0.7911175	0.7197642
TCGA-AN-A049-01A-21R-A00Z-07	0.8860339	0.8134672
TCGA-AN-A04A-01A-21R-A034-07	0.9332856	0.9284686
TCGA-AN-A04C-01A-21R-A034-07	0.9573236	0.9458175
TCGA-AN-A04D-01A-21R-A034-07	0.8658959	0.83654
TCGA-AN-A0AJ-01A-11R-A00Z-07	0.710005	0.5829014
TCGA-AN-A0AK-01A-21R-A00Z-07	0.9233425	0.9183801
TCGA-AN-A0AL-01A-11R-A00Z-07	0.9084734	0.8584856
TCGA-AN-A0AM-01A-11R-A034-07	0.7580753	0.5594313
TCGA-AN-A0AR-01A-11R-A00Z-07	0.8453237	0.8013453
TCGA-AN-A0AS-01A-11R-A00Z-07	0.8458783	0.7392065
TCGA-AN-A0AT-01A-11R-A034-07	0.5970378	0.4682487
TCGA-AN-A0FD-01A-11R-A034-07	0.75164	0.5816934
TCGA-AN-A0FF-01A-11R-A034-07	0.7792786	0.6228035
TCGA-AN-A0FJ-01A-11R-A00Z-07	0.8546486	0.8535725
TCGA-AN-A0FK-01A-11R-A034-07	0.8717759	0.8547134
TCGA-AN-A0FL-01A-11R-A034-07	0.8964487	0.8795338
TCGA-AN-A0FN-01A-11R-A034-07	0.8486422	0.7221635
TCGA-AN-A0FS-01A-11R-A034-07	0.8698585	0.8428928
TCGA-AN-A0FT-01A-11R-A034-07	0.9614651	0.9468273
TCGA-AN-A0FV-01A-11R-A00Z-07	0.9776745	0.9770258
TCGA-AN-A0FW-01A-11R-A034-07	0.8032539	0.7764148
TCGA-AN-A0FX-01A-11R-A034-07	0.9026938	0.8595587
TCGA-AN-A0FY-01A-11R-A034-07	0.8860813	0.8791226
TCGA-AN-A0FZ-01A-11R-A034-07	0.9307197	0.9034199
TCGA-AN-A0G0-01A-11R-A034-07	0.8936064	0.8694764
TCGA-AN-A0XL-01A-11R-A10J-07	0.898477	0.8314602
TCGA-AN-A0XN-01A-21R-A109-07	0.8492532	0.7547628
TCGA-AN-A0XO-01A-11R-A109-07	0.9130357	0.8807297
TCGA-AN-A0XP-01A-11R-A109-07	0.8047396	0.7152645
TCGA-AN-A0XR-01A-11R-A109-07	0.7451164	0.7644533
TCGA-AN-A0XS-01A-22R-A109-07	0.8796912	0.864033
TCGA-AN-A0XT-01A-11R-A109-07	0.7966967	0.6725148
TCGA-AN-A0XU-01A-11R-A109-07	0.5186809	0.4926862
TCGA-AN-A0XV-01A-11R-A109-07	0.8159469	0.7399522
TCGA-AN-A0XW-01A-11R-A109-07	0.8039515	0.7617584
TCGA-AO-A03L-01A-41R-A056-07	0.8943856	0.8732396
TCGA-AO-A03M-01B-11R-A10J-07	0.7897816	0.7717169
TCGA-AO-A03N-01B-11R-A10J-07	0.7261304	0.6826148
TCGA-AO-A03O-01A-11R-A00Z-07	0.5093574	0.3500324
TCGA-AO-A03P-01A-11R-A00Z-07	0.8331707	0.7309164
TCGA-AO-A03R-01A-21R-A034-07	0.7939945	0.5502573
TCGA-AO-A03T-01A-21R-A034-07	0.8544694	0.8020843
TCGA-AO-A03U-01B-21R-A10J-07	0.8872617	0.8725025
TCGA-AO-A03V-01A-11R-A115-07	0.9175617	0.9127347
TCGA-AO-A0J2-01A-11R-A034-07	0.8353985	0.7427801
TCGA-AO-A0J3-01A-11R-A034-07	0.7559069	0.6238084
TCGA-AO-A0J4-01A-11R-A034-07	0.8183263	0.6997403
TCGA-AO-A0J5-01A-11R-A034-07	0.9079257	0.8774897
TCGA-AO-A0J6-01A-11R-A034-07	0.6351417	0.4640629
TCGA-AO-A0J7-01A-11R-A034-07	0.8735324	0.8819764
TCGA-AO-A0J8-01A-21R-A034-07	0.6940625	0.6891768
TCGA-AO-A0J9-01A-11R-A034-07	0.6612846	0.4520163
TCGA-AO-A0JA-01A-11R-A056-07	0.8440329	0.8187508
TCGA-AO-A0JB-01A-11R-A32Y-07	0.7812729	0.3853229
TCGA-AO-A0JC-01A-11R-A056-07	0.3080335	0.2051623
TCGA-AO-A0JD-01A-11R-A056-07	0.35021	0.3855686
TCGA-AO-A0JE-01A-11R-A056-07	0.8885224	0.8690148
TCGA-AO-A0JF-01A-11R-A056-07	0.8218345	0.7730047
TCGA-AO-A0JG-01A-31R-A084-07	0.7033204	0.6626328
TCGA-AO-A0JI-01A-21R-A056-07	0.8852789	0.8358599
TCGA-AO-A0JJ-01A-11R-A056-07	0.77475	0.6743511
TCGA-AO-A0JL-01A-11R-A056-07	0.8739828	0.8312078
TCGA-AO-A0JM-01A-21R-A056-07	0.937836	0.9285581
TCGA-AO-A124-01A-11R-A10J-07	0.6763771	0.5867638
TCGA-AO-A125-01A-11R-A10J-07	0.8151529	0.805997
TCGA-AO-A126-01A-11R-A10J-07	0.8662606	0.8173858
TCGA-AO-A128-01A-11R-A10J-07	0.2309599	0.0608408
TCGA-AO-A129-01A-21R-A10J-07	0.8065547	0.6572687
TCGA-AO-A12A-01A-21R-A115-07	0.786192	0.7078294
TCGA-AO-A12B-01A-11R-A10J-07	0.721684	0.6115264
TCGA-AO-A12C-01A-11R-A10J-07	0.9586745	0.9637276
TCGA-AO-A12D-01A-11R-A115-07	0.938488	0.9137464
TCGA-AO-A12E-01A-11R-A10J-07	0.7455816	0.6838673
TCGA-AO-A12F-01A-11R-A115-07	0.9228374	0.8859149
TCGA-AO-A12G-01A-11R-A10J-07	0.916545	0.8860286
TCGA-AO-A12H-01A-11R-A115-07	0.7831738	0.6818546
TCGA-AO-A1KO-01A-31R-A13Q-07	0.8328873	0.815379
TCGA-AO-A1KP-01A-11R-A13Q-07	0.852168	0.7556242
TCGA-AO-A1KQ-01A-11R-A13Q-07	0.7811298	0.5568966
TCGA-AO-A1KR-01A-12R-A144-07	0.7958383	0.7312613
TCGA-AO-A1KS-01A-11R-A13Q-07	0.6507765	0.3322159
