	A1BG
TCGA-33-6737-01A-11R-1820-07	1196.0
TCGA-BP-4352-01A-01R-1289-07	1197.0
TCGA-BP-4991-01A-01R-1334-07	1200.0
TCGA-66-2790-01A-01R-0980-07	1202.0
TCGA-AB-2938-03A-01T-0736-13	1203.0
TCGA-21-1076-01A-02R-0692-07	1204.0
TCGA-61-2094-01A-01R-1568-13	1204.0
TCGA-56-6546-01A-11R-1820-07	1205.0
TCGA-29-1697-01A-01R-1567-13	1209.0
TCGA-13-0899-01A-01R-1564-13	1210.0
TCGA-21-1081-01A-01R-0692-07	1210.0
TCGA-21-1082-01A-01R-0692-07	1211.0
TCGA-24-1424-01A-01R-1565-13	1212.0
TCGA-B0-4815-01A-01R-1503-07	1212.0
TCGA-BP-4325-01A-02R-1289-07	1222.0
TCGA-BP-4981-01A-01R-1334-07	1222.0
TCGA-CV-6942-01A-21R-2016-07	1222.0
TCGA-AB-2983-03A-01T-0734-13	1225.0
TCGA-39-5019-01A-01R-1820-07	1228.0
TCGA-04-1348-01A-01R-1565-13	1229.0
TCGA-B0-5085-01A-01R-1334-07	1231.0
TCGA-BP-4964-01A-01R-1334-07	1231.0
TCGA-BP-4342-01A-01R-1289-07	1232.0
TCGA-CJ-4899-01A-01R-1334-07	1233.0
TCGA-56-6545-01A-11R-1820-07	1235.0
TCGA-A3-3370-01A-02R-1420-07	1235.0
TCGA-AB-2807-03A-01T-0734-13	1236.0
TCGA-BP-4169-01A-02R-1289-07	1237.0
TCGA-AB-2959-03A-01T-0734-13	1238.0
TCGA-E2-A1B1-01A-21R-A12P-07	1238.0
TCGA-55-8096-01A-11R-2241-07	1240.0
TCGA-AK-3427-01A-01R-0864-07	1241.0
TCGA-BP-4995-01A-01R-1334-07	1241.0
TCGA-CN-4723-01A-01R-1436-07	1242.0
TCGA-39-5030-01A-01R-1443-07	1243.0
TCGA-24-2027-01A-01R-1567-13	1244.0
TCGA-36-1580-01A-01R-1566-13	1244.0
TCGA-29-1702-01A-01R-1567-13	1245.0
TCGA-BP-5008-01A-01R-1334-07	1245.0
TCGA-23-1809-01A-01R-1566-13	1246.0
TCGA-A7-A13G-01A-11R-A13Q-07	1247.0
TCGA-A3-3380-01A-01R-0864-07	1249.0
TCGA-43-6770-01A-11R-1820-07	1250.0
TCGA-39-5028-01A-01R-1443-07	1251.0
TCGA-A3-3363-01A-01R-0864-07	1251.0
TCGA-BP-4999-01A-01R-1334-07	1251.0
TCGA-BA-4078-01A-01R-1436-07	1253.0
TCGA-04-1365-01A-01R-1565-13	1254.0
TCGA-34-5236-01A-21R-1820-07	1254.0
TCGA-CR-6481-01A-11R-1873-07	1254.0
TCGA-A2-A04Y-01A-21R-A034-07	1256.0
TCGA-A8-A08I-01A-11R-A00Z-07	1256.0
TCGA-09-1673-01A-01R-1566-13	1258.0
TCGA-36-1571-01A-01R-1566-13	1258.0
TCGA-63-5128-01A-01R-1443-07	1258.0
TCGA-34-5239-01A-21R-1820-07	1259.0
TCGA-25-1322-01A-01R-1565-13	1260.0
TCGA-AB-2842-03A-01T-0734-13	1260.0
TCGA-06-0238-01A-02R-1849-01	1262.0
TCGA-25-1314-01A-01R-1565-13	1262.0
TCGA-AB-2941-03A-01T-0740-13	1264.0
TCGA-25-1323-01A-01R-1565-13	1266.0
TCGA-97-8172-01A-11R-2287-07	1266.0
TCGA-25-1625-01A-01R-1566-13	1268.0
TCGA-75-5147-01A-01R-1628-07	1269.0
TCGA-A3-3365-01A-01R-0864-07	1270.0
TCGA-CJ-4918-01A-01R-1426-07	1272.0
TCGA-AB-2975-03A-01T-0734-13	1274.0
TCGA-05-4434-01A-01R-1206-07	1277.0
TCGA-AB-2970-03A-01T-0734-13	1277.0
TCGA-BP-5007-01A-01R-1334-07	1277.0
TCGA-24-1423-01A-01R-1565-13	1278.0
TCGA-55-1592-01A-01R-0946-07	1280.0
TCGA-D6-6826-01A-11R-1915-07	1280.0
TCGA-69-8255-01A-11R-2287-07	1283.0
TCGA-AB-2980-03A-01T-0734-13	1283.0
TCGA-25-1315-01A-01R-1565-13	1284.0
TCGA-41-2571-01A-01R-1850-01	1285.0
TCGA-BP-4341-01A-01R-1289-07	1285.0
TCGA-D8-A27L-01A-11R-A16F-07	1286.0
TCGA-18-4083-01A-01R-1100-07	1288.0
TCGA-24-1603-01A-01R-1566-13	1288.0
TCGA-13-0890-01A-01R-1564-13	1290.0
TCGA-BP-4983-01A-01R-1334-07	1290.0
TCGA-E2-A15M-01A-11R-A12D-07	1290.0
TCGA-AB-2971-03A-01T-0734-13	1291.0
TCGA-BA-6869-01A-11R-1873-07	1291.0
TCGA-38-4630-01A-01R-1206-07	1292.0
TCGA-60-2715-01A-01R-0851-07	1292.0
TCGA-CJ-4901-01A-01R-1426-07	1294.0
TCGA-37-4141-01A-02R-1100-07	1295.0
TCGA-CJ-4923-01A-01R-1426-07	1296.0
TCGA-22-1002-01A-01R-0692-07	1299.0
TCGA-AB-2973-03A-01T-0734-13	1299.0
TCGA-BP-4965-01A-01R-1334-07	1300.0
TCGA-22-5489-01A-01R-1635-07	1301.0
TCGA-A8-A07C-01A-11R-A034-07	1301.0
TCGA-AB-2911-03A-01T-0734-13	1302.0
TCGA-34-5929-01A-11R-1820-07	1303.0
TCGA-BH-A1F0-01A-11R-A137-07	1303.0
TCGA-20-1685-01A-01R-1566-13	1304.0
TCGA-B0-4699-01A-01R-1277-07	1307.0
TCGA-06-5415-01A-01R-1849-01	1308.0
TCGA-B0-4845-01A-01R-1277-07	1308.0
TCGA-22-4604-01A-01R-1201-07	1311.0
TCGA-24-2024-01A-02R-1568-13	1312.0
TCGA-CV-6948-01A-11R-1915-07	1312.0
TCGA-AR-A251-01A-12R-A169-07	1314.0
TCGA-BP-5169-01A-01R-1426-07	1314.0
TCGA-BP-4774-01A-01R-1289-07	1315.0
TCGA-38-4625-01A-01R-1206-07	1316.0
TCGA-43-3394-01A-01R-0980-07	1316.0
TCGA-GD-A3OS-01A-12R-A220-07	1316.0
TCGA-24-1430-01A-01R-1566-13	1317.0
TCGA-B0-5084-01A-01R-1334-07	1317.0
TCGA-24-1560-01A-01R-1566-13	1318.0
TCGA-B0-4706-01A-01R-1503-07	1318.0
TCGA-BP-4975-01A-01R-1334-07	1318.0
TCGA-CX-7086-01A-11R-2081-07	1318.0
TCGA-05-4382-01A-01R-1206-07	1320.0
TCGA-69-8254-01A-11R-2287-07	1320.0
TCGA-B0-5104-01A-01R-1420-07	1320.0
TCGA-BP-4972-01A-01R-1334-07	1320.0
TCGA-22-1016-01A-01R-0692-07	1321.0
TCGA-BP-4963-01A-01R-1334-07	1323.0
TCGA-24-1844-01A-01R-1567-13	1324.0
TCGA-EW-A1J1-01A-11R-A13Q-07	1324.0
TCGA-61-1900-01A-01R-1567-13	1325.0
TCGA-06-1804-01A-01R-1849-01	1328.0
TCGA-26-5134-01A-01R-1850-01	1328.0
TCGA-29-1783-01A-01R-1567-13	1328.0
TCGA-06-0141-01A-01R-1849-01	1329.0
TCGA-CN-5359-01A-01R-1436-07	1329.0
TCGA-24-1427-01A-01R-1565-13	1331.0
TCGA-BT-A2LA-01A-11R-A18C-07	1331.0
TCGA-05-4432-01A-01R-1206-07	1332.0
TCGA-55-6987-01A-11R-1949-07	1332.0
TCGA-09-0369-01A-01R-1564-13	1333.0
TCGA-32-2634-01A-01R-1850-01	1334.0
TCGA-86-8280-01A-11R-2287-07	1335.0
TCGA-AB-2818-03A-01T-0734-13	1336.0
TCGA-B0-4819-01A-01R-1277-07	1337.0
TCGA-23-2081-01A-01R-1568-13	1338.0
TCGA-61-1740-01A-01R-1567-13	1338.0
TCGA-99-8032-01A-11R-2241-07	1338.0
TCGA-06-5411-01A-01R-1849-01	1341.0
TCGA-AB-2913-03A-01T-0734-13	1341.0
TCGA-34-2608-01A-02R-0851-07	1343.0
TCGA-60-2713-01A-01R-0851-07	1343.0
TCGA-61-1728-01A-01R-1568-13	1343.0
TCGA-AB-2964-03A-01T-0734-13	1343.0
TCGA-09-1668-01B-01R-1566-13	1344.0
TCGA-B0-5077-01A-01R-1334-07	1345.0
TCGA-AB-2916-03A-01T-0734-13	1346.0
TCGA-23-1120-01A-02R-1565-13	1349.0
TCGA-22-5474-01A-01R-1635-07	1350.0
TCGA-21-1083-01A-01R-0692-07	1351.0
TCGA-12-0619-01A-01R-1849-01	1352.0
TCGA-AB-2877-03A-01T-0735-13	1352.0
TCGA-A3-3358-01A-01R-1541-07	1353.0
TCGA-26-1442-01A-01R-1850-01	1354.0
TCGA-85-6175-01A-11R-1820-07	1354.0
TCGA-A2-A25A-01A-12R-A16F-07	1354.0
TCGA-25-1623-01A-01R-1566-13	1358.0
TCGA-29-1694-01A-01R-1567-13	1358.0
TCGA-04-1362-01A-01R-1565-13	1360.0
TCGA-36-1577-01A-01R-1566-13	1360.0
TCGA-18-3410-01A-01R-0980-07	1361.0
TCGA-50-5946-02A-11R-2090-07	1361.0
TCGA-61-1743-01A-01R-1568-13	1362.0
TCGA-CN-4739-01A-02R-1514-07	1365.0
TCGA-CJ-4902-01A-01R-1426-07	1366.0
TCGA-CZ-4866-01A-01R-1503-07	1367.0
TCGA-67-6215-01A-11R-1755-07	1368.0
TCGA-CN-5369-01A-01R-1436-07	1368.0
TCGA-24-2036-01A-01R-1568-13	1369.0
TCGA-44-2656-01A-02R-0946-07	1370.0
TCGA-09-0364-01A-02R-1564-13	1372.0
TCGA-33-4532-01A-01R-1201-07	1373.0
TCGA-66-2781-01A-01R-0851-07	1374.0
TCGA-AB-2963-03A-01T-0734-13	1376.0
TCGA-CQ-5326-01A-01R-1873-07	1376.0
TCGA-06-0129-01A-01R-1849-01	1377.0
TCGA-25-1316-01A-01R-1565-13	1378.0
TCGA-43-3920-01A-01R-0980-07	1378.0
TCGA-66-2767-01A-01R-0851-07	1378.0
TCGA-A8-A081-01A-11R-A00Z-07	1379.0
TCGA-A2-A25C-01A-11R-A169-07	1380.0
TCGA-97-8177-01A-11R-2287-07	1381.0
TCGA-05-4398-01A-01R-1206-07	1382.0
TCGA-25-2393-01A-01R-1569-13	1382.0
TCGA-BP-4982-01A-01R-1334-07	1382.0
TCGA-B0-5092-01A-01R-1420-07	1383.0
TCGA-06-0745-01A-01R-1849-01	1385.0
TCGA-24-1843-01A-01R-1567-13	1385.0
TCGA-37-4130-01A-01R-1100-07	1385.0
TCGA-A7-A26G-01A-21R-A169-07	1385.0
TCGA-FI-A2EW-01A-11R-A17B-07	1386.0
TCGA-66-2788-01A-01R-0980-07	1388.0
TCGA-CJ-4890-01A-01R-1305-07	1390.0
TCGA-A3-3320-01A-02R-1325-07	1391.0
TCGA-06-0158-01A-01R-1849-01	1393.0
TCGA-73-4675-01A-01R-1206-07	1394.0
TCGA-20-1683-01A-01R-1566-13	1395.0
TCGA-EW-A2FS-01A-11R-A17B-07	1397.0
TCGA-BP-5004-01A-01R-1334-07	1398.0
TCGA-CR-6467-01A-11R-1873-07	1398.0
TCGA-13-1505-01A-01R-1565-13	1400.0
TCGA-24-1604-01A-01R-1566-13	1400.0
TCGA-95-7562-01A-11R-2241-07	1400.0
TCGA-05-4422-01A-01R-1206-07	1401.0
TCGA-09-1669-01A-01R-1566-13	1401.0
TCGA-63-5131-01A-01R-1443-07	1401.0
TCGA-06-0156-01A-03R-1849-01	1402.0
TCGA-60-2709-01A-21R-1820-07	1402.0
TCGA-86-8075-01A-11R-2241-07	1403.0
TCGA-CR-7374-01A-11R-2016-07	1403.0
TCGA-25-1870-01A-01R-1567-13	1404.0
TCGA-39-5037-01A-01R-1443-07	1404.0
TCGA-85-6560-01A-11R-1820-07	1404.0
TCGA-A3-3325-01A-01R-0864-07	1404.0
TCGA-06-0219-01A-01R-1849-01	1405.0
TCGA-D8-A27I-01A-11R-A16F-07	1405.0
TCGA-34-5928-01A-11R-1820-07	1406.0
TCGA-CX-7082-01A-11R-2016-07	1406.0
TCGA-13-0800-01A-01R-1564-13	1407.0
TCGA-AB-2882-03A-01T-0740-13	1407.0
TCGA-06-0221-02A-11R-2005-01	1409.0
TCGA-B0-5075-01A-01R-1334-07	1410.0
TCGA-CV-7238-01A-11R-2016-07	1411.0
TCGA-29-1690-01A-01R-1566-13	1412.0
TCGA-97-8174-01A-11R-2287-07	1412.0
TCGA-09-2051-01A-01R-1568-13	1413.0
TCGA-25-1319-01A-01R-1565-13	1413.0
TCGA-BP-5006-01A-01R-1334-07	1414.0
TCGA-25-1632-01A-01R-1566-13	1416.0
TCGA-CZ-4854-01A-01R-1305-07	1416.0
TCGA-13-0730-01A-01R-1564-13	1417.0
TCGA-B0-4849-01A-01R-1277-07	1417.0
TCGA-60-2721-01A-01R-0851-07	1418.0
TCGA-AX-A06D-01A-11R-A118-07	1420.0
TCGA-44-3396-01A-01R-1206-07	1421.0
TCGA-A8-A06Q-01A-11R-A034-07	1421.0
TCGA-BP-4962-01A-01R-1334-07	1421.0
TCGA-D8-A27M-01A-11R-A16F-07	1421.0
TCGA-AB-2806-03A-01T-0734-13	1422.0
TCGA-BH-A1EU-01A-11R-A137-07	1422.0
TCGA-12-0618-01A-01R-1849-01	1423.0
TCGA-18-3414-01A-01R-0980-07	1423.0
TCGA-19-2624-01A-01R-1850-01	1423.0
TCGA-25-1313-01A-01R-1565-13	1423.0
TCGA-33-4533-01A-01R-1201-07	1423.0
TCGA-A7-A26H-01A-11R-A169-07	1423.0
TCGA-44-8119-01A-11R-2241-07	1424.0
TCGA-CV-6934-01A-11R-1915-07	1424.0
TCGA-24-1924-01A-01R-1567-13	1425.0
TCGA-24-1418-01A-01R-1565-13	1426.0
TCGA-CN-4741-01A-01R-1436-07	1427.0
TCGA-CJ-4892-01A-01R-1305-07	1428.0
TCGA-32-2615-01A-01R-1850-01	1429.0
TCGA-44-2655-01A-01R-0946-07	1429.0
TCGA-CJ-4920-01A-01R-1426-07	1430.0
TCGA-A3-3372-01A-02R-1325-07	1431.0
TCGA-AB-2908-03A-01T-0740-13	1432.0
TCGA-DV-5573-01A-01R-1541-07	1433.0
TCGA-BP-4173-01A-02R-1289-07	1434.0
TCGA-A3-3313-01A-02R-1325-07	1436.0
TCGA-29-1784-01A-02R-1567-13	1437.0
TCGA-05-4397-01A-01R-1206-07	1438.0
TCGA-34-2596-01A-01R-0851-07	1438.0
TCGA-06-0152-02A-01R-2005-01	1439.0
TCGA-25-1326-01A-01R-1565-13	1439.0
TCGA-AB-3002-03A-01T-0736-13	1439.0
TCGA-B8-5551-01A-01R-1541-07	1439.0
TCGA-55-6969-01A-11R-1949-07	1440.0
TCGA-AO-A0J4-01A-11R-A034-07	1440.0
TCGA-05-4402-01A-01R-1206-07	1441.0
TCGA-09-1662-01A-01R-1566-13	1441.0
TCGA-19-4065-01A-01R-2005-01	1444.0
TCGA-51-4080-01A-01R-1100-07	1444.0
TCGA-34-5241-01A-01R-1443-07	1445.0
TCGA-B0-4828-01A-01R-1277-07	1445.0
TCGA-66-2737-01A-01R-0980-07	1447.0
TCGA-09-2048-01A-01R-1568-13	1448.0
TCGA-37-4132-01A-01R-1100-07	1448.0
TCGA-39-5035-01A-01R-1443-07	1449.0
TCGA-AB-2847-03A-01T-0736-13	1449.0
TCGA-CN-6992-01A-11R-1915-07	1449.0
TCGA-50-5946-01A-11R-1755-07	1450.0
TCGA-CZ-4865-01A-02R-1503-07	1450.0
TCGA-21-5786-01A-01R-1635-07	1451.0
TCGA-22-5478-01A-01R-1635-07	1451.0
TCGA-24-1567-01A-01R-1566-13	1452.0
TCGA-29-1776-01A-01R-1567-13	1452.0
TCGA-AB-2978-03A-01T-0734-13	1452.0
TCGA-AB-2995-03A-01T-0735-13	1453.0
TCGA-CN-6997-01A-11R-2016-07	1453.0
TCGA-73-4662-01A-01R-1206-07	1454.0
TCGA-86-6851-01A-11R-1949-07	1454.0
TCGA-AB-2803-03A-01T-0734-13	1454.0
TCGA-41-3915-01A-01R-1850-01	1455.0
TCGA-39-5024-01A-21R-1820-07	1456.0
TCGA-A8-A097-01A-11R-A034-07	1457.0
TCGA-CJ-4916-01A-01R-1426-07	1457.0
TCGA-75-7025-01A-12R-1949-07	1458.0
TCGA-BP-5199-01A-01R-1426-07	1458.0
TCGA-CN-5360-01A-01R-1436-07	1458.0
TCGA-E9-A248-01A-11R-A169-07	1458.0
TCGA-BH-A1FB-01A-11R-A13Q-07	1459.0
TCGA-22-4595-01A-01R-1201-07	1460.0
TCGA-24-1847-01A-01R-1566-13	1460.0
TCGA-25-1633-01A-01R-1566-13	1460.0
TCGA-13-1405-01A-01R-1565-13	1461.0
TCGA-25-1329-01A-01R-1565-13	1461.0
TCGA-55-6983-01A-11R-1949-07	1461.0
TCGA-A2-A0SW-01A-11R-A084-07	1461.0
TCGA-44-2659-01A-01R-0946-07	1462.0
TCGA-BP-4798-01A-01R-1305-07	1463.0
TCGA-B0-4818-01A-01R-1503-07	1464.0
TCGA-B0-4821-01A-01R-1503-07	1464.0
TCGA-B0-4833-01A-01R-1305-07	1466.0
TCGA-18-3416-01A-01R-0980-07	1467.0
TCGA-57-1583-01A-01R-1566-13	1467.0
TCGA-BA-6870-01A-11R-1873-07	1467.0
TCGA-EW-A1P7-01A-21R-A144-07	1467.0
TCGA-08-0386-01A-01R-1849-01	1468.0
TCGA-A2-A25F-01A-11R-A169-07	1468.0
TCGA-22-5477-01A-01R-1635-07	1469.0
TCGA-60-2695-01A-01R-0851-07	1469.0
TCGA-CR-6470-01A-11R-1873-07	1469.0
TCGA-A8-A0A2-01A-11R-A034-07	1470.0
TCGA-28-2510-01A-01R-1850-01	1471.0
TCGA-66-2770-01A-01R-0851-07	1471.0
TCGA-66-2791-01A-01R-0980-07	1471.0
TCGA-33-4547-01A-01R-1201-07	1472.0
TCGA-B6-A0IQ-01A-11R-A034-07	1472.0
TCGA-BP-4970-01A-01R-1334-07	1474.0
TCGA-25-1318-01A-01R-1565-13	1475.0
TCGA-29-1762-01A-01R-1567-13	1475.0
TCGA-AB-2933-03A-01T-0734-13	1475.0
TCGA-DV-5574-01A-01R-1541-07	1476.0
TCGA-19-1390-01A-01R-1850-01	1477.0
TCGA-AB-2813-03A-01T-0736-13	1477.0
TCGA-CN-6010-01A-11R-1686-07	1477.0
TCGA-CR-6478-01A-11R-1873-07	1479.0
TCGA-29-1693-01A-01R-1567-13	1480.0
TCGA-59-2363-01A-01R-1569-13	1481.0
TCGA-AB-2984-03A-01T-0734-13	1481.0
TCGA-CJ-4638-01A-02R-1325-07	1481.0
TCGA-37-3789-01A-01R-0980-07	1483.0
TCGA-A3-3317-01A-02R-1325-07	1483.0
TCGA-AC-A23C-01A-12R-A169-07	1483.0
TCGA-05-4418-01A-01R-1206-07	1484.0
TCGA-CV-7248-01A-11R-2016-07	1484.0
TCGA-66-2768-01A-01R-0851-07	1485.0
TCGA-44-7669-01A-21R-2066-07	1486.0
TCGA-57-1582-01A-01R-1566-13	1486.0
TCGA-AB-2872-03A-01T-0735-13	1486.0
TCGA-GM-A2DH-01A-11R-A180-07	1486.0
TCGA-15-1444-01A-02R-1850-01	1487.0
TCGA-A3-3367-01A-02R-1420-07	1487.0
TCGA-50-5072-01A-21R-1858-07	1488.0
TCGA-C8-A26Y-01A-11R-A16F-07	1488.0
TCGA-37-5819-01A-01R-1635-07	1489.0
TCGA-61-2113-01A-01R-1568-13	1489.0
TCGA-AQ-A04J-01A-02R-A034-07	1489.0
TCGA-E2-A14X-01A-11R-A115-07	1489.0
TCGA-24-1564-01A-01R-1566-13	1490.0
TCGA-24-1842-01A-01R-1567-13	1490.0
TCGA-60-2710-01A-01R-0851-07	1490.0
TCGA-CJ-4888-01A-01R-1305-07	1490.0
TCGA-49-4505-01A-01R-1206-07	1491.0
TCGA-55-8301-01A-11R-2287-07	1491.0
TCGA-BH-A0BL-01A-11R-A115-07	1492.0
TCGA-13-1403-01A-01R-1565-13	1493.0
TCGA-25-1630-01A-01R-1566-13	1493.0
TCGA-AB-2987-03A-01T-0734-13	1493.0
TCGA-60-2698-01A-01R-0851-07	1495.0
TCGA-44-7660-01A-11R-2066-07	1496.0
TCGA-BP-4961-01A-01R-1334-07	1496.0
TCGA-E9-A1NE-01A-21R-A14M-07	1496.0
TCGA-09-1670-01A-01R-1566-13	1497.0
TCGA-61-2110-01A-01R-1568-13	1497.0
TCGA-B0-4698-01A-01R-1503-07	1497.0
TCGA-B2-4101-01A-02R-1277-07	1497.0
TCGA-D8-A1Y0-01A-11R-A14M-07	1497.0
TCGA-18-4086-01A-01R-1100-07	1498.0
TCGA-86-8076-01A-31R-2241-07	1498.0
TCGA-29-1691-01A-01R-1566-13	1499.0
TCGA-60-2712-01A-01R-0851-07	1499.0
TCGA-BP-4355-01A-01R-1289-07	1499.0
TCGA-CV-5434-01A-01R-1686-07	1499.0
TCGA-06-0171-02A-11R-2005-01	1500.0
TCGA-66-2789-01A-01R-0980-07	1500.0
TCGA-AB-2840-03A-01T-0734-13	1500.0
TCGA-BP-4775-01A-01R-1289-07	1500.0
TCGA-44-3918-01A-01R-1107-07	1502.0
TCGA-A3-3387-01A-01R-1541-07	1502.0
TCGA-AB-2817-03A-01T-0736-13	1502.0
TCGA-AK-3461-01A-02R-1277-07	1502.0
TCGA-29-1710-01A-02R-1567-13	1503.0
TCGA-35-3615-01A-01R-0946-07	1503.0
TCGA-04-1364-01A-01R-1565-13	1504.0
TCGA-AB-2937-03A-01T-0734-13	1504.0
TCGA-28-5215-01A-01R-1850-01	1505.0
