	A1BG
TCGA-21-5782-01A-01R-1635-07	252.0
TCGA-E9-A245-01A-22R-A16F-07	412.0
TCGA-A7-A26I-01A-11R-A169-07	424.0
TCGA-A7-A26F-01A-21R-A169-07	454.0
TCGA-B0-4691-01A-01R-1277-07	484.0
TCGA-CJ-4882-01A-02R-1426-07	538.0
TCGA-B5-A1MY-01A-11R-A144-07	688.0
TCGA-21-1077-01A-01R-0692-07	730.0
TCGA-BP-5187-01A-01R-1426-07	736.0
TCGA-BP-5201-01A-01R-1426-07	774.0
TCGA-DQ-7591-01A-11R-2081-07	798.0
TCGA-BP-5001-01A-01R-1334-07	810.0
TCGA-36-1575-01A-01R-1566-13	816.0
TCGA-A8-A08G-01A-11R-A00Z-07	817.0
TCGA-J2-8192-01A-11R-2241-07	820.0
TCGA-55-8203-01A-11R-2241-07	850.0
TCGA-55-8092-01A-11R-2241-07	855.0
TCGA-BP-4988-01A-01R-1334-07	866.0
TCGA-25-1324-01A-01R-1565-13	902.0
TCGA-CV-7242-01A-11R-2016-07	908.0
TCGA-86-8073-01A-11R-2241-07	918.0
TCGA-AB-2849-03A-01T-0734-13	920.0
TCGA-BP-4971-01A-01R-1334-07	920.0
TCGA-34-5231-01A-21R-1820-07	923.0
TCGA-BP-4992-01A-01R-1334-07	925.0
TCGA-55-8097-01A-11R-2241-07	932.0
TCGA-55-8204-01A-11R-2241-07	951.0
TCGA-CV-7418-01A-11R-2081-07	952.0
TCGA-BB-4224-01A-01R-1436-07	965.0
TCGA-CR-6482-01A-11R-1873-07	968.0
TCGA-22-1011-01A-01R-0692-07	970.0
TCGA-B0-4811-01A-01R-1503-07	971.0
TCGA-BP-5000-01A-01R-1334-07	977.0
TCGA-55-8089-01A-11R-2241-07	983.0
TCGA-86-8056-01A-11R-2241-07	989.0
TCGA-BP-4989-01A-01R-1334-07	992.0
TCGA-09-0366-01A-01R-1564-13	993.0
TCGA-CV-7424-01A-11R-2081-07	997.0
TCGA-A8-A0A4-01A-11R-A00Z-07	1002.0
TCGA-24-1428-01A-01R-1564-13	1018.0
TCGA-CJ-4900-01A-01R-1334-07	1018.0
TCGA-BA-6871-01A-11R-1873-07	1024.0
TCGA-99-8033-01A-11R-2241-07	1026.0
TCGA-BB-4223-01A-01R-1436-07	1030.0
TCGA-86-8055-01A-11R-2241-07	1031.0
TCGA-25-1317-01A-01R-1565-13	1036.0
TCGA-29-1699-01A-01R-1567-13	1039.0
TCGA-AC-A2QH-01A-11R-A18M-07	1040.0
TCGA-BP-4960-01A-01R-1334-07	1042.0
TCGA-AB-2917-03A-01T-0734-13	1044.0
TCGA-BP-5183-01A-01R-1426-07	1052.0
TCGA-95-8039-01A-11R-2241-07	1058.0
TCGA-13-0799-01A-01R-1564-13	1062.0
TCGA-34-5232-01A-21R-1820-07	1064.0
TCGA-24-1550-01A-01R-1566-13	1066.0
TCGA-55-8087-01A-11R-2241-07	1066.0
TCGA-BA-5559-01A-01R-1514-07	1067.0
TCGA-BP-4347-01A-01R-1289-07	1067.0
TCGA-B0-4852-01A-01R-1503-07	1070.0
TCGA-86-8074-01A-11R-2241-07	1077.0
TCGA-24-1558-01A-01R-1566-13	1079.0
TCGA-E9-A243-01A-21R-A169-07	1081.0
TCGA-23-1027-01A-02R-1564-13	1089.0
TCGA-AS-3777-01A-01R-0864-07	1089.0
TCGA-09-1674-01A-01R-1566-13	1090.0
TCGA-BP-4351-01A-01R-1289-07	1090.0
TCGA-A3-3352-01A-01R-0864-07	1093.0
TCGA-BP-4986-01A-01R-1334-07	1097.0
TCGA-BP-4968-01A-01R-1334-07	1100.0
TCGA-BP-4969-01A-01R-1334-07	1100.0
TCGA-10-0936-01A-01R-1564-13	1103.0
TCGA-46-6026-01A-11R-1820-07	1103.0
TCGA-36-1578-01A-01R-1566-13	1104.0
TCGA-BP-4994-01A-01R-1334-07	1106.0
TCGA-34-5927-01A-11R-1820-07	1108.0
TCGA-55-8208-01A-11R-2241-07	1114.0
TCGA-BP-4974-01A-01R-1334-07	1115.0
TCGA-25-1871-01A-01R-1567-13	1118.0
TCGA-AB-2808-03A-01T-0734-13	1118.0
TCGA-BP-4998-01A-01R-1334-07	1119.0
TCGA-22-4593-01A-21R-1820-07	1120.0
TCGA-BP-4335-01A-01R-1289-07	1120.0
TCGA-24-0975-01A-02R-1565-13	1121.0
TCGA-22-5483-01A-01R-1820-07	1122.0
TCGA-AB-2867-03A-01T-0734-13	1123.0
TCGA-36-1581-01A-01R-1566-13	1124.0
TCGA-04-1514-01A-01R-1566-13	1125.0
TCGA-20-1684-01A-01R-1566-13	1130.0
TCGA-30-1855-01A-01R-1567-13	1133.0
TCGA-B0-5098-01A-01R-1420-07	1133.0
TCGA-50-5066-02A-11R-2090-07	1137.0
TCGA-AB-2853-03A-01T-0734-13	1137.0
TCGA-AB-2912-03A-01T-0734-13	1139.0
TCGA-39-5029-01A-01R-1443-07	1147.0
TCGA-AK-3458-01A-01R-1503-07	1150.0
TCGA-AB-2826-03A-01T-0734-13	1154.0
TCGA-23-1122-01A-01R-1565-13	1155.0
TCGA-A3-3335-01A-01R-0864-07	1156.0
TCGA-BP-4985-01A-01R-1334-07	1157.0
TCGA-AB-2965-03A-01T-0734-13	1158.0
TCGA-BB-4217-01A-11R-2081-07	1159.0
TCGA-B0-4813-01A-01R-1277-07	1161.0
TCGA-13-0916-01A-01R-1564-13	1163.0
TCGA-29-1763-01A-02R-1567-13	1163.0
TCGA-36-1570-01A-01R-1566-13	1165.0
TCGA-B0-5081-01A-01R-1334-07	1170.0
TCGA-13-1481-01A-01R-1565-13	1171.0
TCGA-43-6143-01A-11R-1820-07	1171.0
TCGA-13-0913-01A-01R-1564-13	1172.0
TCGA-BP-4967-01A-01R-1334-07	1172.0
TCGA-24-1556-01A-01R-1566-13	1178.0
TCGA-BP-4973-01A-01R-1334-07	1179.0
TCGA-BP-4977-01A-01R-1334-07	1179.0
TCGA-24-1469-01A-01R-1566-13	1181.0
TCGA-85-6561-01A-11R-1820-07	1181.0
TCGA-39-5031-01A-01R-1443-07	1183.0
TCGA-J2-8194-01A-11R-2241-07	1187.0
TCGA-BP-5009-01A-01R-1334-07	1191.0
TCGA-B0-5088-01A-01R-1334-07	1192.0
TCGA-D1-A16I-01A-11R-A12I-07	1195.0
